date, time, latitude, longitude, ssid, rssi, channel, encryptionType
10/20/2024,15:22:09.00,47.560822,7.604005,SmartWiFi_888658,-69,1,WPA2
10/20/2024,15:22:09.00,47.560822,7.604005,photon,-72,1,WPA2
10/20/2024,15:22:09.00,47.560822,7.604005,vdy-96750,-84,8,Auto
10/20/2024,15:22:09.00,47.560822,7.604005,Sunrise_5693306,-73,11,WPA2
10/20/2024,15:22:09.00,47.560822,7.604005,FibreBox_X6-330D37,-72,11,WPA2
10/20/2024,15:22:24.00,47.560881,7.604042,HUAWEI-0ABF,-84,3,WPA2
10/20/2024,15:22:24.00,47.560881,7.604042,gxv-16836,-81,4,Auto
10/20/2024,15:22:24.00,47.560881,7.604042,vvc-50319,-74,6,Auto
10/20/2024,15:22:24.00,47.560881,7.604042,FRITZ!Box 5490 KX,-77,6,WPA2
10/20/2024,15:22:24.00,47.560881,7.604042,Sunrise_5693306,-72,11,WPA2
10/20/2024,15:22:39.00,47.560881,7.604042,HUAWEI-0ABF,-76,3,WPA2
10/20/2024,15:22:39.00,47.560881,7.604042,gxv-16836,-88,4,Auto
10/20/2024,15:22:39.00,47.560881,7.604042,vvc-50319,-74,6,Auto
10/20/2024,15:22:54.00,47.560881,7.604042,yallo_3214135,-83,1,WPA2
10/20/2024,15:23:09.00,47.560881,7.604042,vvc-50319,-92,6,Auto
10/20/2024,15:23:09.00,47.560881,7.604042,WN-595CA0,-95,11,WPA2
10/20/2024,15:23:24.00,47.560881,7.604042,Sunrise_5693306,-92,1,WPA2
10/20/2024,15:23:24.00,47.560881,7.604042,,-94,1,WPA2
10/20/2024,15:23:24.00,47.560881,7.604042,UPC2736137,-94,1,WPA2
10/20/2024,15:23:39.00,47.560881,7.604042,FRITZ!Box 5490 KX,-88,6,WPA2
10/20/2024,15:23:39.00,47.560881,7.604042,Wecast-5G-89964c,-94,6,WPA2
10/20/2024,15:23:54.00,47.560881,7.604042,qvj-16446,-90,1,WPA2
10/20/2024,15:23:54.00,47.560881,7.604042,fmx-25835,-90,1,WPA2
10/20/2024,15:23:54.00,47.560881,7.604042,visitor-25835,-92,1,WPA2
10/20/2024,15:23:54.00,47.560881,7.604042,FRITZ!Box 5490 UH,-84,6,WPA2
10/20/2024,15:23:54.00,47.560881,7.604042,bhu-78813,-93,11,WPA2
10/20/2024,15:24:09.00,47.560881,7.604042,BBB,-85,1,WPA2
10/20/2024,15:24:09.00,47.560881,7.604042,10-03-026,-89,5,WPA2
